"","URL","Name","YearEst","Employees","Revenue"
"168","https://www.proff.dk/firma/symphogen-as/ballerup/bioteknologi/GNQWXRI0225/","Symphogen A/S",2000,133,39
"169","https://www.proff.dk/firma/enkam-pharmaceuticals-aps-under-konkurs/k%C3%B8benhavn-%C3%B8/bioteknologi/GO8J88I0225/","Enkam Pharmaceuticals ApS  Under Konkurs",2000,NA,276
"170","https://www.proff.dk/firma/evolva-biotech-as-i-likvidation/k%C3%B8benhavn-%C3%B8/bioteknologi/GO9MMAI0225/","Evolva Biotech A/S  I Likvidation",2000,NA,116
"171","https://www.proff.dk/firma/nuevolution-as/k%C3%B8benhavn-%C3%B8/bioteknologi/GOB8GBI0225/","Nuevolution A/S",2001,69,39
"172","https://www.proff.dk/firma/carlsberg-forskningscenter/k%C3%B8benhavn-v/bioteknologi/GOBIDGI0225/","Carlsberg Forskningscenter",2001,94,0
"173","https://www.proff.dk/firma/unibio-as/roskilde/bioteknologi/GOG5TPI0225/","Unibio A/S",2001,28,13099
"174","https://www.proff.dk/firma/sanos-as/herlev/bioteknologi/GPHVZHI0225/","Sanos A/S",2003,NA,5847
"175","https://www.proff.dk/firma/quantibact-as/h%C3%B8rsholm/bioteknologi/GPJZK9I0225/","Quantibact A/S",2004,1,526
"176","https://www.proff.dk/firma/grundfos-biobooster-as-%C3%B82/bjerringbro/bioteknologi/GW10LRI0225/","Grundfos Biobooster A/S - Ø2",2016,NA,5405
"177","https://www.proff.dk/firma/stemform-as/s%C3%B8borg/bioteknologi/GW3OR1I0225/","Stemform A/S",2016,11,3793
"178","https://www.proff.dk/firma/perfect-stevia-aps-under-konkurs/aarhus-n/bioteknologi/GW5H4ZI0225/","Perfect Stevia ApS  Under Konkurs",2016,NA,0
"179","https://www.proff.dk/firma/idun-genomics-ivs-under-tvangsopl%C3%B8sning/aller%C3%B8d/bioteknologi/GWBIINI0225/","Idun Genomics IVS  Under Tvangsopløsning",2016,NA,0
"180","https://www.proff.dk/firma/civi-biopharma-as/k%C3%B8benhavn-%C3%B8/bioteknologi/GWC4KOI0225/","Civi Biopharma A/S",2016,NA,4485
"181","https://www.proff.dk/firma/ljos-ivs-under-tvangsopl%C3%B8sning/veks%C3%B8-sj%C3%A6lland/bioteknologi/GWE0UCI0225/","Ljos IVS  Under Tvangsopløsning",2016,NA,0
"182","https://www.proff.dk/firma/unibio-as/kalundborg/bioteknologi/GWIL0JI0225/","Unibio A/S",2016,20,13099
"183","https://www.proff.dk/firma/draupnir-bio-aps/k%C3%B8benhavn-n/bioteknologi/GWO7VVI0225/","Draupnir Bio ApS",2017,3,39
